abstract,추상적인
commemorate,"기념하다, 축하하다"
commence,시작하다
commend,"칭찬하다, 추천하다"
comment,"논평, 언급, 견해를 밝히다"
commercial,"상업의, 상업적인, 광고"
commision,"수수료, 위원회"
committed,"헌신하는, 전념하는"
committee,위원회
common,"흔한, 공통의, 공동의"
commute,"통근하다, 출퇴근"
compartment,"짐칸, 칸, 객실"
compelling,"설득력있는, 강렬한"
compensate,"보상하다, 보상금을 주다"
competent,"유능한, 능숙한"
compile,"수집하다, 편집하다, 엮다"
complimentary,"무료의, 칭찬하는"
complance,준수
component,"부품, 구성요소"
comprehension,"이해, 이해력"
comprehensive,"종합적인, 포괄적인"
concern,"우려, 걱정, 에 관계가 있다"
concession,"양보, 양해"
condense,"농축하다, 압축하다, 요약하다"
conduct,"실시하다, 수행하다"
confidence,"신뢰, 자신감"
confidential,"기밀의, 비밀의"
confirm,"확인하다, 확정하다"
conflict,"충돌, 갈등, 겹치다"
conform,"따르다, 순응하다"
congestion,"혼잡, 체중, 막힘"
conscious,"의식하는, 자각하는, 의식이 있는"
consecutive,연속적인
consensus,"의견 일치, 여론, 합의"
consent,"동의, 허락, 동의하다, 허락하다"
conserve,"절약하다, 아껴쓰다, 보존하다"
conservatively,"보수적으로, 어림잡아 말해서"
consideration,"고려, 배려, 숙고"
considerable,"상당한, 많은"
consierate,"사려 깊은, 배려하는"
consist,"이루어져 있다, 존재하는"
consistent,"꾸준한, 일관성 있는"
constantly,"끊임없이, 계속"
constraint,"제약, 통제"
consult,"상담하다, 상의하다, 찾아보다"
consumption,"소비, 소비량"
contamination,오염
contemporary,"동시대의, 현대의"
content,"내용, 목차, 만족하는"
contingent,"조건으로 하는, 여부에 따라"
contractor,"계약자, 시공사"
contribute,"기부하다, 기여하다"
controversy,"논쟁, 논란"
convene,"모이다, 소집하다"
conveniently,편리하게
convince,납득시키다
cooperate,협력하다
coordinator,"조정자, 책임자"
cope,"대처하다, 대응하다"
cordially,"진심으로, 정중하게"
corporate,회사의
correspondence,"사신, 편지"
courteous,"예의 바른, 공손한"
cover,"돈을 대다, 다루다, 보험에 들다, 보도하다"
coverage,"보상 범위, 보도"
craftsman,공예가
critically,"비평적으로, 비판적으로"
credit,"인정하다, 입금하다"
crucial,"중대한, 결정적인"
cuisine,"요리, 요리법"
cultivate,"경작하다, 재배하다, 구축하다"
customs,세관
dealership,판매 대리점
declaration,"신고, 신고서, 선언"
decline,"감소하다, 하락, 거절하다"
dedicated,"헌신하는, 몰두하는"
defect,결함
deflict,"적자, 결손"
delegate,"대표, 사절단, 특파하다, 위임하다"
deliberately,"고의로, 의도적으로"
delicate,"부서지기 쉬운, 민감한, 미묘한"
densely,밀집하여
depart,"출발하다, 떠나다, 그만두다"
deposit,"보증금, 착수금, 예금하다"
designated,"지정된, 지명된"
desirable,"바람직한, 호감이 가는"
deteriorate,"악화되다, 더 나빠지다"
determine,"결정하다, 밝히다, 결심하다"
detour,"우회로, 우회하다"
devise,"고안하다, 창안하다"
devote,"바치다, 쏟다"
diagnosis,진단
differ,다르다
dine,식사를 하다
direct,"총괄하다, 감독하다"
directory,"안내 책자, 목록"
disclose,"밝히다, 폭로하다"
discrepancy,"차이, 불일치"
dismiss,해고하다
display,"전시하다, 진열, 전시"
disposable,"일회용의, 쓰고 버리는"
dispute,"분쟁, 논쟁, 반박하다"
disregard,"무시하다, 묵살"
distinct,"뚜렷한, 확실한"
distinguished,"유명한, 성공한"
diverse,다양한
division,"부서, 부분"
dock,"부두, 정박하다"
document,기록하다
domestic,"국내의, 가정의"
doubt,"의심, 의혹, 의문을 갖다"
draft,"원고, 코안, 초안을 작성하다"
draw,"끌다, 끌어당기다,"
drawback,"결점, 문제점"
drought,가뭄
drowsy,"졸리는, 나른하게 만드는"
due,"기한이 된, 지불해야 하는, 회비"
duplicate,"복사하다, 복제하다, 사본의"
durable,"내구성이 있는, 오래가는"
duration,"지속, 기간"
duty,"직무, 업무, 의무, 관세"
eager,"간절히 바라는, 열렬한, 열심인"
edge,우위
efficiency,"효율성, 능률"
effort,"노력, 노고"
elaborate,"정교한, 정성을 들인"
elect,"선출하다, 당선된"
eligible,자격이 있는
eloquent,"유창한, 화술이 뛰어난"
embark,"승선하다, 착수하다, 시작하다"
emerging,"떠오르는, 신흥의"
emission,"배출, 배기가스"
emphasis,"강조, 주안점"
employment,"고용, 취업"
enclosed,동봉된
encounter,"만나다, 마주하다, 직면하다"
endorsement,"홍보, 지지, 보증"
enforce,"시행하다, 집행하다"
engagement,"약속, 업무"
engrave,세기다
enhance,향상시키다
enrollment,등록
entry,"응모, 출품, 참가작, 출입, 입력"
entrepreneur,기업가
enthusiastic,"열렬한, 열성적인"
enviable,"부러운, 선망의 대상이 되는"
equivalent,"상응하는, 동등한, 상응하는 것"
establishment,"기관, 시설, 설립"
evaluate,"평가하다, 감정하다"
even,"조차, 훨씬, 평평한, 고른"
evident,"분명한, 눈에 띄는"
exaggerate,과장하다
examine,"조사하다, 검사하다"
excavate,"발굴하다, 출토하다, 파다"
excess,"지나침, 과잉, 초과량, 초과한"
exceptionally,"유난히, 특별히, 이례적으로"
exclusive,"독점적인, 전용의, 배타적인"
excursion,"여행, 소풍"
executive,"간부, 임원, 경영의, 운영의"
exempt,"면제되는, 면제하다"
exhibitor,"전시업체, 출품자"
existing,"기존의, 현존의"
expedite,신속히 처리하다
expenditure,지출
expertise,"전문 지식, 전문 기술"
expire,"끝나다, 만료되다"
explicit,"분명한, 솔직한, 명백한"
exponential,기하급수적인
expose,"노출시키다, 드러내다"
express,"표현하다, 급행의, 신속한"
extraordinary,"대단한, 뛰어난, 엄청난, 이례적인"
facilitate,"가능하게 하다, 촉진하다"
factor,"요인, 요소, 원인"
faculty,"교수진, 교직원, 능력"
fair,"박람회, 전시회, 공정한, 상당한"
fare,"요금, 음식"
fasten,"고정시키다, 매다"
favorable,"우효적인, 유리한, 좋은"
feasibility,"실행 가능성, 타당한"
feature,"특징, 기능, 특별히 포함하다"
figure,"수치, 숫자, 인물"
findings,"조사 결과, 연구 결과"
fine,"벌금, 좋은, 건강한, 미세한"
firm,"회사, 단단한, 확고한"
flaw,"결함, 흠, 결점"
flexible,"융통성 있는, 신축성 있는, 유연한"
fluctuation,"변동, 변화, 오르내림, 등락"
flyer,"전단, 비행기 승객"
forecast,"예측, 예보, 예측하다"
foresseeable,예측할 수 있는
formal,"공식적인, 정식의, 격식을 차린"
formerly,이전에
foster,"조성하다, 발전시키다, 육성하다"
founder,설립자
functional,"작동하는, 가동되는"
fundraising,"자금 조달, 모금"
funishings,가구
gear,"장비, 복장"
generous,"관대한, 많은, 넉넉한"
genuine,"진짜의, 진품의"
govern,"통재하다, 통치하다, 지배하다"
gradual,"점진적인, 완만한"
grant,"보조금을 주다, 승인하다"
grateful,"감사하는, 고마워하는"
halt,"멈춤, 중단, 중지하다"
hardly,거의 아니다
headquartered,에 본사가 있는
hesitant,"주저하는, 망설이는"
hospitality,"서비스업, 환대, 접대"
impecaable,"흡잡을 데 없는, 완벽한"
imperative,필수적인
implement,"시행하다, 이행하다, 도구"
imply,"암시하다, 의미하다"
impose,"부가하다, 시행하다"
improvement,"개선, 향상, 호전"
imporovise,"즉흥적으로 하다, 만들다"
inclement,"궂은, 악천후의"
incur,"초래하다, 발생시키다"
indicate,"나타내다, 암시하다, 시사하다"
ingenious,"독창적인, 기발한"
inherently,"본질적으로, 선천적으로"
initial,"처음의, 초기, 이름의 첫 글자"
initiative,"계획, 주도, 주도권"
inquire,"문의하다, 알아보다"
insight,통찰력
inspection,"점검, 검사"
instantly,"즉시, 즉각"
instead of ,대신에
institute,"기관, 협회, 도입하다, 시작하다"
instruct,"지시하다, 교육하다"
intact,"손상되지 않은, 온전한"
integrate,"통합하다, 합치다"
intellectual,"지적인, 지능의, 교육을 많이 받은"
intend,"의도하다, 작정하다"
intensive,집중적인
interact,"상호 작용하다, 소통하다"
interface,"방해하다, 간섭하다"
internal,내부의
interpret,"설명하다, 해석하다, 통역하다"
interruption,"중단, 방해"
intriguing,"흥미로운, 재미있는"
inventory,"재고, 물품 목록"
investigate,"조사하다, 살피다, 수사하다"
invitation,"초대, 초대장"
invoice,"청구서, 송장"
involvement,"관련, 관여, 참여, 개입, 연루"
irrigation,물을 논밭에 댐
issue,"주제, 사안, 호, 발행하다, 발부하다"
intinerary,여행 일정표
keynote,"기초, 주안점"
kneel,무릎을 꿇다
labor,"노동, 근로, 일하다"
landscaping,조경
lapse,"경과, 실수, 깜빡함, 소멸하다"
leak,"누수, 누출, 새다"
lease,"임대차 계약, 임대하다"
lend,"빌려주다, 대출하다"
lessen,"줄이다, 줄다"
liability,"책임, 부채"
liaison,"연락, 연락 담당자"
load,"싣다, 짐"
loan,"대출, 대여, 빌려주다"
loyal,충실한
lucrative,수익성이 좋은
maintenance,"정비, 유지, 보수, 관리"
mandatory,"의무적인, 필수의"
manufacture,"제조하다, 제조, 생산"
mainscript,"원고, 코안, 초안을 작성하다"
marginally,"아주 조금, 미미하게"
markedly,"현저하게, 두드러지게"
material,"재료, 자료, 직물, 천"
measure,"조치, 방안, 재다, 측정하다"
medication,"약, 약물, 치료, 투약"
merchandise,"상품, 물품"
merge,합병하다
meticulously,"꼼꼼하게, 주의 깊게"
minutes,회의록
moderately,"중간 정도의, 적당히"
modify,"수정하다, 변경하다, 바꾸다"
monument,"기념비, 기념물, 역사적인 건축물"
morale,"의욕, 사기"
mower,잔디 깎는 기계
multually,"서로, 상호 간에"
narrow,"좁은, 좁히다, 좁아지다"
neglect,"방치하다, 등한시하다"
nominate,"지명하다, 임명하다"
note,"주목하다, 언급하다, 메모"
numerous,많은
nutritional,영양상의
objective,"목표, 목적, 객관적인"
obligation,"의무, 책임, 책무"
observe,"준수하다, 지키다, 관찰하다"
obsolete,"한물간, 구식의 쓸모없게 된"
obtain,"얻다, 구하다, 획득하다"
occasionally,"가끔, 때때로"
occupy,"차지하다, 사용하다, 거주하다"
oppose,반대하다
optimal,"최적의, 최선의, 최상의"
optimistic,"낙관적인, 낙천적인"
opt,"선택하다, 고르다, 채택하다"
orderly,"정돈된, 질서 있는"
organize,"준비하다, 정리하다"
outcome,결과
outdated,구식인
outgoing,"퇴임하는, 물러나는, 외향적인"
outline,"개요를 서술하다, 개요"
output,"생산량, 선출량, 출력"
outstanding,"뛰어난, 미지불된, 처리되지 않은"
overcharge,과다 청구하다
overcome,"극복하다, 이겨내다"
overhaul,"점검, 정비하다"
overlook,"내려보다, 눈감아주다, 간과하다"
oversee,"감시하다, 감독하다"
overview,"개관, 개요"
owing to,"때문에, 덕분에"
participate,"첨가하다, 참여하다"
patent,"특허, 특허의"
patron,"후원자, 고객"
payroll,"급여 대상자 명단, 임금 대장"
perception,"자각, 인식"
periodically,"정기적으로, 주기적으로"
perishable,부패하기 쉬운
permanent,"영구적인, 정규직의"
permit,"허용하다, 허가증"
persist,"계속하다, 지속하다"
personnel,"인사, 직원"
perspective,"관점, 시각, 전망, 견해"
persuasive,설득력 있는
pertinent,"적절한, 관련 있는"
pharmaceutical,"제약의, 약학의"
polish,"닦다, 광택을 내다, 광택제"
politician,정치인
portrait,초상화
portion,부분
pose,제기하다
possess,"소유하다, 소지하다"
postpone,"미루다, 연기하다"
pour,"붓다, 따르다"
practical,"현실적인, 실용적인"
praise,"칭찬, 칭찬하다"
predecessor,"전임자, 이전 모델"
preliminary,"예비의, 사전 준비의"
premises,"부지, 구내"
prescription,처방전
presence,"존재감, 입지, 출석"
preserve,"지키다, 보존하다"
prestigious,"명망있는, 일류의, 유명한"
prevalent,"유행하는, 널리 퍼져 있는"
primaily,"주로, 원래"
prior to,"전에, 에 앞서"
priority,"우선사항, 우선"
prvilege,"특전, 특혜, 특권"
probationary,"수습 기간 중인, 견습중의"
proceed,"진행하다, 나아가다"
procedure,"절차, 방법"
proficiency,"숙달, 능숙, 능통"
profile,"인물을 소개하다, 개요"
profitable,"수익성이 있는, 돈벌이가 되는"
prohibit,"금지하다, 하지 못하게 하다"
projected,예상된
prolong,"연장시키다, 연장하다"
prominent,"중요한, 유명한, 눈에 잘 띄는"
promising,"유망한, 촉명 받는"
promotional,"홍보의, 판촉의"
promptly,"신속히, 지체 없이, 정각에"
proofread,교정을 보다
property,"건물, 부동산, 재산"
propose,"제안하다, 제의하다"
prospective,"장래의, 유망한, 가망이 있는"
prosperous,"번창하는, 번영한, 부유한"
provisionally,"임시로, 잠정적으로"
proximity,"가까움, 근접"
publicize,"알리다, 홍보하다"
pursue,"추구하다, 계속하다, 뒤쫓다"
qualified,"자격이 있는, 적임의"
quarterly,분기별의
questionnaire,설문지
quote,"견적을 내다, 인용하다"
rate,"요금, 가격, 비율, 속도, 평가하다"
rather,"꽤, 오히려, 다소, 차라리"
rationale,"이유, 근거"
readership,"독자 수, 독자층"
readily,"손쉽게, 즉시"
reassure,안심시키다
recognize,"인정하다, 인지하다"
recruit,"모집하다, 채용하다, 신입 사원"
redeem,"바꾸다, 교환하다"
refrain,"삼가다, 그만두다"
refund,"환불, 환불금, 환불하다"
refurbish,"새로 꾸미다, 재단장하다"
regarding,에 관하여
regional,"지역의, 지방의"
register,"등록하다, 신청하다"
regularly,"정기적으로, 규칙적으로"
regulation,"규정, 규제"
reimburse,"배상하다, 상환하다, 변제하다"
reject,"거절하다, 거부하다"
relatively,"비교적, 상대적으로"
relevant,"관련 있는, 적절한"
relieve,"덜다, 해소하다, 완화하다, 줄이다"
reluctant,"꺼리는, 주저하는, 망설이는"
reliable,"믿을 만한, 신뢰할 수 있는"
reliant,"의존하는, 의지하는"
remit,"송금하다, 보내다"
renewable,재생 가능한
renovation,"보수, 개조, 수리"
renowned,"유명한, 명성있는"
representative,"담당자, 대표, 대표적인"
reputation,"평판, 명성"
reserve,"예약하다, 보유하다"
residental,"거주의, 주거의"
resignation,"사임, 사퇴"
retain,"유지하다, 간직하다"
revise,"변경하다, 수정하다, 개정하다"
rigorous,"엄격한, 철저한, 혹독한"
row,"열, 줄, 노를 젓다"
sample,시식하다
scarcity,"부족, 결핍"
scenic,경치가 좋은
scope,"범위, 영역"
screening,"상영, 방영, 검사, 심사"
scrutinize,면밀히 조사하다
seldom,좀처럼 하지 않는
sensible,"분별력 있는, 합리적인"
serve,"제공하다, 근무하다, 일하다"
session,"시간, 기간, 회의"
setback,"차질, 어려움"
settle,"해결하다, 결정하다, 정착하다"
servere,"심각한, 엄격한"
shrink,줄어들다
simultaneously,"동시에 일어나다, 일치하다"
sip,조금씩 마시다
solely,"오로지, 단지, 단독으로"
solicit,"요청하다, 간청하다"
somewhat,"어느 정도, 약간, 다소"
sophisticated,"정교한, 복잡한, 세련된, 수준 높은"
souvenir,기념품
spacious,"넓은, 널찍한"
span,"시간, 시간, 걸쳐 이어지다"
spare,"남는, 여분의, 예비의, 할애하다"
specified,명시된
speculate,"짐작하다, 추측하다, 투기하다"
spot,"찾다, 발견하다"
stagnant,"침체된, 부진한, 불경기의"
stain,"얼룩, 얼룩지다"
statement,"명세서, 내역서"
statistics,"통계, 통계학"
steady,"안정된, 꾸준한"
stock,"재고, 주식, 채우다"
strategy,"전략, 계획"
streamline,"간소화하다, 능률화하다"
stress,"강조, 강조하다"
strive,"노력하다, 애쓰다"
stroll,"거닐다, 산책하다, 산책"
submission,"제출, 제출물"
subscription,"구독, 가입"
subsequent,"다음의, 차후의"
subsidiary,자회사
substantial,"상당한, 크고 튼튼한"
substitute,"대체, 대리자, 대신하다, 대체하다"
successive,"연속적인, 잇따른"
sufficient,충분한
superb,"최고의, 훌륭한"
superior,"우수한, 상급의, 상관"
supervision,"감독, 관리, 지휘"
supervisory,"감독의, 관리의"
supplement,"보충제, 보완하다, 보충하다"
suppose,"생각하다, 추측하다, 가정하다"
surpass,"능가하다, 뛰어넘다"
surplus,"흑자, 과잉, 잉여의"
surroundings,환경
suspend,"보류하다, 중단하다, 매달다, 걸다"
sustainable,지속 가능한
synthetic,"인조의, 합성의"
tailor,"재단사, 맞추다"
task,"업무, 과제"
temporarily,"임시로, 일시적으로"
tentatively,잠정적으로
testimonial,"추천의 글, 추천서"
thoroughly,"완전히, 철저하게"
tolerant,"내성이 있는, 잘 견디는, 관대한"
transaction,"거래, 업무, 처리"
transferable,"이동 가능한, 양도 가능한"
transit,"수송, 환승, 교통 체계"
transition,"변화, 이행, 변환"
transmit,"전송하다, 전달하다, 보내다"
treatment,"치료, 처치, 대우, 처리"
trim,"다듬다, 손질하다, 잘라내다"
tuition,"수업료, 수업"
turnover,"매출액, 이직률"
typically,"보통, 일반적으로"
unanimous,만장일치의
undergo,"겪다, 경험하다, 받다, 당하다"
unforeseen,"예측하지 못한, 뜻밖의"
unprecedented,전례 없는
unwavering,"변함없는, 확고한"
urban,도시의
utility,"공공시설, 공공요금"
utmost,"최고의, 극도의, 최대한도"
vacancy,"결원, 공석"
vaguely,"희미하게, 애매하게"
valid,"유효한, 타당한"
valuable,"소중한, 귀중한, 값비싼"
vary,"다르다, 달라지다"
vast,"방대한, 막대한"
ventilation,"환기, 통풍"
venue,장소
vendor,"판매자, 상인, 판매 회사"
verify,"확인하다, 입증하다"
versatile,"다용도의, 다목적의, 다재다능한"
vibrant,"활기찬, 힘찬"
violation,"위반, 위배"
virtually,"사실상, 거의"
voucher,"상품권, 쿠폰"
wage,"급여, 임금"
waive,"포기하다, 철회하다"
wear,"닳음, 마모"
weigh,"저울질하다, 따져보다"
wildlife,야생 동식물
willing,기꺼이 하는
withdraw,"인출하다, 철회하다"
yield,"내다, 을 낳다, 수확, 수확량"
inflate,"부풀리다, 과장하다"
